title,artist,part_song,chord_absolute,roman_numeral,start_time,end_time
Kesepian,Vierratale,chorus,Dm,ii,91.277641723,94.574875283
Kesepian,Vierratale,chorus,G,V,94.574875283,97.80244898
Kesepian,Vierratale,verse,C,I,97.80244898,101.076462585
Kesepian,Vierratale,verse,G,V,101.076462585,104.187936508
Kesepian,Vierratale,verse,F,IV,104.187936508,107.508390023
Kesepian,Vierratale,verse,G,V,107.508390023,110.735963719
Kesepian,Vierratale,verse,C,I,110.735963719,114.033197279
Kesepian,Vierratale,verse,G,V,114.033197279,117.400090703
Kesepian,Vierratale,verse,F,IV,117.400090703,120.349024943
Kesepian,Vierratale,verse,G,V,120.349024943,123.669478458
Kesepian,Vierratale,interlude,Am,vi,123.669478458,124.923356009
Kesepian,Vierratale,interlude,C,I,124.923356009,127.036371882
Kesepian,Vierratale,interlude,F,IV,127.036371882,130.194285714
Kesepian,Vierratale,interlude,Am,vi,130.194285714,131.448163265
Kesepian,Vierratale,interlude,C,I,131.448163265,133.537959184
Kesepian,Vierratale,interlude,D,II,133.537959184,136.695873016
Kesepian,Vierratale,interlude,Dm,ii,136.695873016,140.016326531
Kesepian,Vierratale,interlude,Em,iii,140.016326531,143.197460317
Kesepian,Vierratale,interlude,F,IV,143.197460317,146.425034014
Kesepian,Vierratale,interlude,G,V,146.425034014,152.903401361
Kesepian,Vierratale,chorus,C,I,152.903401361,156.24707483
Kesepian,Vierratale,chorus,Em,iii,156.24707483,159.428208617
Kesepian,Vierratale,chorus,Gm,v,159.428208617,161.053605442
Kesepian,Vierratale,chorus,A,VI,161.053605442,162.679002268
Kesepian,Vierratale,chorus,Dm,ii,162.679002268,165.8369161
Kesepian,Vierratale,chorus,Fm,iv,165.8369161,167.578412698
Kesepian,Vierratale,chorus,F,IV,167.578412698,169.227029478
Kesepian,Vierratale,chorus,Em,iii,169.227029478,170.759546485
Kesepian,Vierratale,chorus,Am,vi,170.759546485,172.361723356
Kesepian,Vierratale,chorus,Dm,ii,172.361723356,175.705396825
Kesepian,Vierratale,chorus,G,V,175.705396825,178.886530612
Kesepian,Vierratale,chorus,C,I,178.886530612,182.137324263
Kesepian,Vierratale,chorus,Em,iii,182.137324263,185.364897959
Kesepian,Vierratale,chorus,Gm,v,185.364897959,187.013514739
Kesepian,Vierratale,chorus,A,VI,187.013514739,188.638911565
Kesepian,Vierratale,chorus,Dm,ii,188.638911565,191.982585034
Kesepian,Vierratale,chorus,Fm,iv,191.982585034,193.515102041
Kesepian,Vierratale,chorus,F,IV,193.515102041,195.233378685
Kesepian,Vierratale,chorus,Em,iii,195.233378685,196.742675737
Kesepian,Vierratale,chorus,Am,vi,196.742675737,198.368072562
Kesepian,Vierratale,chorus,Dm,ii,198.368072562,201.618866213
Kesepian,Vierratale,chorus,G,V,201.618866213,204.846439909
Kesepian,Vierratale,chorus,C,I,204.846439909,208.074013605
Kesepian,Vierratale,chorus,Em,iii,208.074013605,211.278367347
Kesepian,Vierratale,chorus,Gm,v,211.278367347,212.857324263
Kesepian,Vierratale,chorus,A,VI,212.857324263,214.552380952
Kesepian,Vierratale,chorus,Dm,ii,214.552380952,217.68707483
Kesepian,Vierratale,chorus,Fm,iv,217.68707483,219.405351474
Kesepian,Vierratale,chorus,F,IV,219.405351474,221.030748299
Kesepian,Vierratale,chorus,Em,iii,221.030748299,222.63292517
Kesepian,Vierratale,chorus,Am,vi,222.63292517,224.304761905
Kesepian,Vierratale,chorus,Dm,ii,224.304761905,227.555555556
Kesepian,Vierratale,chorus,G,V,227.555555556,230.806349206
Kesepian,Vierratale,outro,C,I,230.806349206,233.987482993
Kesepian,Vierratale,outro,Em,iii,233.987482993,237.238276644
